cve_mun,ano,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
29010,2020,23,0.782608695652174,23,0.3181818181818182,22,0.9130434782608695,2.782608695652174,23,0.7391304347826086,1.826086956521739,23
29017,2016,39,0.5641025641025641,39,0.35135135135135137,37,0.9743589743589743,3.3846153846153846,39,0.7435897435897436,1.8974358974358974,39
29017,2017,40,0.6,40,0.24324324324324326,37,0.975,2.575,40,0.425,1.1,40
29017,2018,34,0.7352941176470589,34,0.5588235294117647,34,0.9705882352941176,3.852941176470588,34,0.6176470588235294,1.3529411764705883,34
29017,2019,16,0.375,16,0.26666666666666666,15,0.9375,2.375,16,0.6875,1.4375,16
29017,2020,25,0.20833333333333334,24,0.18181818181818182,22,0.84,1.92,25,0.52,1.12,25
29018,2015,8,0.5,8,0.25,8,1,3.625,8,0.75,1.625,8
29018,2016,52,0.6538461538461539,52,0.35294117647058826,51,0.8461538461538461,2.2692307692307687,52,0.5384615384615384,0.8461538461538461,52
29018,2017,56,0.2545454545454545,55,0.17307692307692307,52,0.8035714285714286,2.3214285714285716,56,0.375,1.0192307692307692,52
29018,2018,55,0.41818181818181815,55,0.30612244897959184,49,0.8727272727272727,2.4,55,0.5454545454545454,1.2545454545454544,55
29018,2019,34,0.47058823529411764,34,0.3333333333333333,33,0.8529411764705882,2.9411764705882355,34,0.5294117647058824,1.2352941176470589,34
29018,2020,30,0.5172413793103449,29,0.4482758620689655,29,0.8,2.5666666666666664,30,0.8,1.8620689655172413,29
29023,2014,8,0.5,8,0.125,8,1,3.875,8,0.875,1.5,8
29023,2015,8,0.75,8,0,8,1,4.375,8,0.5,1.5,8
29023,2019,12,0.4166666666666667,12,0.16666666666666666,12,0.75,2.4166666666666665,12,0.5,0.9166666666666667,12
29023,2020,13,0.46153846153846156,13,0.15384615384615385,13,0.8461538461538461,2.8461538461538463,13,0.6923076923076923,1,13
29024,2014,1,0,1,1,1,1,2,1,1,2,1
29024,2016,16,0.5,16,0.125,16,0.875,2.0625,16,0.625,1.3125,16
29024,2017,16,0.625,16,0.375,16,1,3.0625,16,0.6875,1.5625,16
