"NAME_1","NAME_2","year","ndvi_mean"
"Chiapas","Amatenango de la Frontera",2014,0.738213300704956
"Chiapas","Amatenango de la Frontera",2015,0.744582295417786
"Chiapas","Amatenango de la Frontera",2016,0.7320237159729
"Chiapas","Amatenango de la Frontera",2017,0.704825699329376
"Chiapas","Amatenango de la Frontera",2018,0.758549809455872
"Chiapas","Amatenango de la Frontera",2019,0.752018094062805
"Chiapas","Amatenango de la Frontera",2020,0.750145375728607
"Chiapas","Amatenango del Valle",2010,0.64201557636261
"Chiapas","Amatenango del Valle",2011,0.620075762271881
"Chiapas","Amatenango del Valle",2013,0.616123020648956
"Chiapas","Amatenango del Valle",2014,0.658456742763519
"Chiapas","Amatenango del Valle",2015,0.672598540782928
"Chiapas","Amatenango del Valle",2016,0.657568573951721
"Chiapas","Amatenango del Valle",2017,0.635186970233917
"Chiapas","Amatenango del Valle",2018,0.663801074028015
"Chiapas","Amatenango del Valle",2019,0.660908639431
"Chiapas","Amatenango del Valle",2020,0.675191402435303
"Chiapas","Amatán",2010,0.786176383495331
"Chiapas","Amatán",2011,0.771570801734924
"Chiapas","Amatán",2013,0.790482521057129
"Chiapas","Amatán",2014,0.796591699123383
"Chiapas","Amatán",2015,0.79299259185791
"Chiapas","Amatán",2016,0.780747532844543
"Chiapas","Amatán",2017,0.78869616985321
"Chiapas","Amatán",2018,0.798135697841644
"Chiapas","Amatán",2019,0.791881203651428
"Chiapas","Amatán",2020,0.779486358165741
"Chiapas","Angel Albino Corzo",2010,0.735099196434021
"Chiapas","Angel Albino Corzo",2011,0.71123218536377
"Chiapas","Angel Albino Corzo",2013,0.704235970973969
"Chiapas","Angel Albino Corzo",2014,0.746251404285431
"Chiapas","Angel Albino Corzo",2015,0.759350895881653
"Chiapas","Angel Albino Corzo",2016,0.739111304283142
"Chiapas","Angel Albino Corzo",2017,0.746374845504761
"Chiapas","Angel Albino Corzo",2018,0.757555842399597
"Chiapas","Angel Albino Corzo",2019,0.760183453559875
"Chiapas","Angel Albino Corzo",2020,0.768017649650574
"Chiapas","Arriaga",2010,0.626973152160645
"Chiapas","Arriaga",2011,0.691036343574524
"Chiapas","Arriaga",2013,0.645289897918701
"Chiapas","Arriaga",2014,0.680298388004303
"Chiapas","Arriaga",2015,0.678120911121368
"Chiapas","Arriaga",2016,0.627856969833374
"Chiapas","Arriaga",2017,0.661506056785583
"Chiapas","Arriaga",2018,0.682471215724945
"Chiapas","Arriaga",2019,0.682844698429108
"Chiapas","Arriaga",2020,0.688431441783905
"Chiapas","Bejucal de Ocampo",2010,0.718093514442444
"Chiapas","Bejucal de Ocampo",2011,0.679934144020081
"Chiapas","Bejucal de Ocampo",2013,0.703304469585419
"Chiapas","Bejucal de Ocampo",2014,0.736331522464752
"Chiapas","Bejucal de Ocampo",2015,0.749560415744781
"Chiapas","Bejucal de Ocampo",2016,0.735378623008728
"Chiapas","Bejucal de Ocampo",2017,0.719228327274323
"Chiapas","Bejucal de Ocampo",2018,0.750325620174408
"Chiapas","Bejucal de Ocampo",2019,0.754325151443481
"Chiapas","Bejucal de Ocampo",2020,0.747674107551575
"Chiapas","Bella Vista",2010,0.712034821510315
"Chiapas","Bella Vista",2011,0.687870502471924
"Chiapas","Bella Vista",2013,0.687543988227844
"Chiapas","Bella Vista",2014,0.74448812007904
"Chiapas","Bella Vista",2015,0.752950251102448
"Chiapas","Bella Vista",2016,0.747600853443146
"Chiapas","Bella Vista",2017,0.710340917110443
