NAME_1,NAME_2,year,ndvi_mean,pob_tot,pob_mas,pob_fem,cve_mun,cve_ent,delitos,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
Baja California,Tijuana,2018,0.263125419616699,1922523,968740,953783,2004,02,2392,1052,0.7695238095238095,1050,0.42248062015503873,1032,0.8906844106463878,3.4638783269962,1052,0.7870722433460076,2.143135345666991,1027
Baja California,Tijuana,2019,0.348708271980286,1922523,968740,953783,2004,02,2188,1049,0.7349857006673022,1049,0.21470019342359767,1034,0.8646329837940896,3.0705433746425164,1049,0.780743565300286,1.9402546523016644,1021
Baja California,Tijuana,2020,0.351622402667999,1922523,968740,953783,2004,02,2030,808,0.7955390334572491,807,0.4754716981132076,795,0.905940594059406,3.3230198019801995,808,0.8428217821782178,2.1390644753476624,791
Baja California Sur,La Paz,2013,0.278010964393616,292241,145803,146438,3003,03,39.7429878492433,72,0.4166666666666667,72,0.2638888888888889,72,0.8611111111111112,2.5,72,0.6111111111111112,1.2638888888888886,72
Baja California Sur,La Paz,2013,0.278010964393616,304088,148202,155886,15070,15,82.3939991996508,8,0.875,8,0.625,8,1,4.75,8,0.875,2,8
Baja California Sur,La Paz,2014,0.312339276075363,292241,145803,146438,3003,03,63.0071758585565,142,0.6690140845070423,142,0.3873239436619718,142,0.9366197183098592,2.9154929577464785,142,0.8098591549295775,2.0211267605633805,142
Baja California Sur,La Paz,2014,0.312339276075363,304088,148202,155886,15070,15,80.4553168655413,19,0.8947368421052632,19,0.5263157894736842,19,1,5.157894736842105,19,0.9473684210526316,2.736842105263158,19
Baja California Sur,La Paz,2015,0.326637834310532,292241,145803,146438,3003,03,130,141,0.8156028368794326,141,0.3829787234042553,141,0.9219858156028368,2.978723404255319,141,0.8865248226950354,2.354609929078014,141
Baja California Sur,La Paz,2015,0.326637834310532,304088,148202,155886,15070,15,84,28,0.9642857142857144,28,0.5,28,0.9642857142857144,5.107142857142857,28,0.9642857142857144,2.75,28
Baja California Sur,La Paz,2016,0.288517683744431,292241,145803,146438,3003,03,156,1042,0.6926032660902978,1041,0.41375968992248063,1032,0.8406909788867563,2.7840690978886755,1042,0.6890595009596929,1.6599423631123915,1041
Baja California Sur,La Paz,2017,0.268291234970093,292241,145803,146438,3003,03,235,1091,0.736455463728191,1089,0.39098436062557496,1087,0.8056828597616865,2.881651376146793,1090,0.7195233730522457,1.8064220183486213,1090
Baja California Sur,La Paz,2018,0.28485518693924,292241,145803,146438,3003,03,92,1094,0.6094182825484764,1083,0.1701923076923077,1040,0.7742230347349177,2.379341864716636,1094,0.6956124314442413,1.7387717690192477,1091
Baja California Sur,La Paz,2019,0.30437621474266,292241,145803,146438,3003,03,55,1070,0.5224719101123596,1068,0.14650283553875235,1058,0.8317757009345794,2.429373246024322,1069,0.5990654205607476,1.301125703564728,1066
Baja California Sur,La Paz,2020,0.300128668546677,292241,145803,146438,3003,03,32,801,0.3035264483627204,794,0.2519280205655527,778,0.7240948813982522,1.8551810237203503,801,0.46941323345817726,0.9786967418546368,798
Baja California Sur,Los Cabos,2017,0.394605696201324,351111,180944,170167,3008,03,400,772,0.6376623376623377,770,0.40633608815427,726,0.8044041450777202,2.423376623376623,770,0.6800518134715026,1.6467532467532464,770
Baja California Sur,Los Cabos,2018,0.457141935825348,351111,180944,170167,3008,03,105,1035,0.4363459669582119,1029,0.1623246492985972,998,0.7169082125603865,2.012584704743466,1033,0.5806763285024155,1.3123181377303594,1031
Baja California Sur,Los Cabos,2019,0.435065597295761,351111,180944,170167,3008,03,75,1029,0.3627353815659069,1009,0.13034623217922606,982,0.6588921282798834,1.7463556851311954,1029,0.5422740524781341,1.2529182879377434,1028
Baja California Sur,Los Cabos,2020,0.457850158214569,351111,180944,170167,3008,03,36,770,0.27645502645502645,756,0.1906040268456376,745,0.7363636363636363,1.8636363636363629,770,0.538961038961039,1.262678803641092,769
Campeche,Campeche,2013,0.696213483810425,294077,141555,152522,4002,04,31.9882585128056,67,0.4925373134328358,67,0.2835820895522388,67,0.8059701492537313,2.3134328358208958,67,0.5522388059701493,1.1641791044776115,67
Campeche,Campeche,2014,0.745891332626343,294077,141555,152522,4002,04,22.2948468422584,136,0.45588235294117646,136,0.2794117647058824,136,0.7573529411764706,2.1397058823529407,136,0.4632352941176471,0.8308823529411764,136
Campeche,Campeche,2015,0.731676578521729,294077,141555,152522,4002,04,21,137,0.43795620437956206,137,0.2647058823529412,136,0.8248175182481752,2.408759124087591,137,0.5912408759124088,1.2335766423357666,137
Campeche,Campeche,2016,0.729069650173187,294077,141555,152522,4002,04,37,1043,0.4470134874759152,1038,0.3469785575048733,1026,0.7535953978907,2.2262703739213805,1043,0.6174496644295302,1.3564547206165716,1038
Campeche,Campeche,2017,0.691387236118317,294077,141555,152522,4002,04,22,1080,0.500464252553389,1077,0.3857677902621723,1068,0.8111111111111111,2.3231481481481486,1080,0.5166666666666667,1.0731481481481489,1080
Campeche,Campeche,2018,0.731378853321075,294077,141555,152522,4002,04,31,1069,0.5070555032925682,1063,0.2967557251908397,1048,0.754911131898971,2.163704396632366,1069,0.529466791393826,1.059044048734771,1067
Campeche,Campeche,2019,0.716621100902557,294077,141555,152522,4002,04,21,1075,0.4789915966386555,1071,0.29924242424242425,1056,0.7134883720930233,2,1073,0.5358139534883721,1.1219739292364994,1074
Campeche,Campeche,2020,0.705989181995392,294077,141555,152522,4002,04,25,796,0.4379746835443038,790,0.3490445859872611,785,0.664572864321608,1.8476070528967248,794,0.5376884422110553,1.0872313527180786,791
Campeche,Carmen,2017,0.698200047016144,248845,123043,125802,4003,04,40,1033,0.8381782945736435,1032,0.4181286549707602,1026,0.8780251694094869,2.977734753146177,1033,0.8334946757018393,2.208333333333333,1032
Campeche,Carmen,2018,0.719070136547089,248845,123043,125802,4003,04,34,1015,0.729064039408867,1015,0.2572283150548355,1003,0.8118226600985222,2.569458128078817,1015,0.7881773399014779,2.012820512820514,1014
Campeche,Carmen,2019,0.699509918689728,248845,123043,125802,4003,04,43,1046,0.7509615384615385,1040,0.26953125,1024,0.8575525812619503,2.9225621414913947,1046,0.8068833652007649,2.0985645933014365,1045
Campeche,Carmen,2020,0.701723039150238,248845,123043,125802,4003,04,39,782,0.7052767052767053,777,0.3114323258869908,761,0.7570332480818415,2.4846547314578005,782,0.7263427109974424,1.7397435897435898,780
Chiapas,Chiapa de Corzo,2014,0.616837859153748,112075,55166,56909,7027,07,42.6510113504075,10,0.2,10,0.7,10,0.9,2.9,10,0.7,2.2,10
Chiapas,Chiapa de Corzo,2015,0.621264100074768,112075,55166,56909,7027,07,49,17,0.7647058823529411,17,0.5294117647058824,17,1,4.0588235294117645,17,0.7058823529411765,2.117647058823529,17
